Category,Tag
Format,Fiction
Format,Non-Fiction

Genre,Mystery & Thriller
Genre,Sci-Fi & Fantasy
Genre,Romance
Genre,Historical
Genre,Biography & Memoir
Genre,Self-Improvement
Genre,Business
Genre,Psychology
Genre,Science
Genre,Horror

Subgenre,Cozy Mystery
Subgenre,Psychological Thriller
Subgenre,Crime & Detective
Subgenre,Spy & Espionage
Subgenre,Legal Thriller
Subgenre,Epic Fantasy
Subgenre,Urban Fantasy
Subgenre,Cozy Fantasy
Subgenre,Space Opera
Subgenre,Time Travel
Subgenre,Mythology & Retellings
Subgenre,Romantasy
Subgenre,Contemporary Romance
Subgenre,Historical Romance
Subgenre,Dark Romance
Subgenre,Romantic Comedy
Subgenre,Sports Romance
Subgenre,Paranormal Romance
Subgenre,Small Town Romance
Subgenre,Gothic
Subgenre,Psychological Horror
Subgenre,Ghost Story

Story Type,Coming of Age
Story Type,Survival
Story Type,Revenge
Story Type,Quest / Journey
Story Type,Redemption
Story Type,Tragedy
Story Type,Love Story
Story Type,War Story
Story Type,Mystery / Investigation
Story Type,Dystopian
Story Type,Utopian
Story Type,Alternate History
Story Type,Heist
Story Type,Political

Tone / Vibe,Dark
Tone / Vibe,Lighthearted
Tone / Vibe,Emotional
Tone / Vibe,Funny
Tone / Vibe,Gritty
Tone / Vibe,Hopeful
Tone / Vibe,Bleak
Tone / Vibe,Suspenseful
Tone / Vibe,Cozy
Tone / Vibe,Wholesome
Tone / Vibe,Intense
Tone / Vibe,Thought-Provoking

Setting / World,Contemporary
Setting / World,Historical
Setting / World,Futuristic
Setting / World,Medieval
Setting / World,Urban
Setting / World,Small Town
Setting / World,Space
Setting / World,Post-Apocalyptic
Setting / World,Magical World
Setting / World,School / Academy
Setting / World,Supernatural
Setting / World,World War II
Setting / World,Regency Era
Setting / World,Ancient World
Setting / World,Wild West

Character / Dynamics,Strong Female Lead
Character / Dynamics,Antihero
Character / Dynamics,Ensemble Cast
Character / Dynamics,Found Family
Character / Dynamics,Enemies to Lovers
Character / Dynamics,Friends to Lovers
Character / Dynamics,Mentor / Student
Character / Dynamics,Rivalry
Character / Dynamics,Solo Protagonist
Character / Dynamics,Fake Dating
Character / Dynamics,Grumpy / Sunshine
Character / Dynamics,Forced Proximity
Character / Dynamics,Second Chance
Character / Dynamics,Forbidden Love
Character / Dynamics,Love Triangle

Pacing / Style,Fast-Paced
Pacing / Style,Slow Burn
Pacing / Style,Plot-Driven
Pacing / Style,Character-Driven
Pacing / Style,Dense / Complex

Themes,Identity
Themes,Freedom
Themes,Power
Themes,Love
Themes,Death
Themes,Morality
Themes,Justice
Themes,Mental Health
Themes,Society
Themes,Technology
Themes,Human Nature

Nonfiction Topics,Productivity
Nonfiction Topics,Leadership
Nonfiction Topics,Finance
Nonfiction Topics,Startups
Nonfiction Topics,Habits
Nonfiction Topics,Philosophy
Nonfiction Topics,Neuroscience
Nonfiction Topics,Relationships
Nonfiction Topics,Health & Fitness
Nonfiction Topics,Creativity
Nonfiction Topics,True Crime
Nonfiction Topics,History
Nonfiction Topics,Spirituality

Reading Experience,Easy Read
Reading Experience,Challenging Read
Reading Experience,Page Turner
Reading Experience,Relaxing Read
Reading Experience,Informative
Reading Experience,Inspiring
Reading Experience,Emotional Rollercoaster
Reading Experience,Binge-Worthy
Reading Experience,Comfort Read
Reading Experience,Tearjerker
Reading Experience,Mind-Bending
